store,websites,attribute_set,type,category_ids,sku,has_options,name,meta_title,meta_description,image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,country_of_manufacture,msrp_enabled,msrp_display_actual_price_type,gift_message_available,gift_wrapping_available,price,special_price,weight,msrp,gift_wrapping_price,status,is_recurring,visibility,tax_class_id,description,short_description,meta_keyword,custom_layout_update,special_from_date,special_to_date,news_from_date,news_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
default,base,Default,simple,"5,6",sscrishosgb148,0,SG-CRICKET SHOE - PROLITE III MODEL - SIZE 10,,,,,,14,14.html,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,No,2299,2001,513,,,Enabled,No,"Catalog, Search",None,<br><br>SG BRAND CRICKET SHOE / SIZE : 10 / COLOUR : ROYAL Blue / ORANGE New shoe that combines natural running feel with great looks / Toe made from high-tech abrasion-resistant materials / Premium Rubber out-sole for maximum traction / Full-grain PU upper for soft comfort / Moulded EVA in-sock for optimum comfort / Moulded heel counter for extra stability / Stability claws for quick cuts and fast footwork when moving laterally.<br><br>,SG-CRICKET SHOE - PROLITE III MODEL - SIZE 10,,No,2015-09-18 00:00:00,,2015-09-17 00:00:00,2019-09-14 00:00:00,,,10,0,1,1,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,SG-CRICKET SHOE - PROLITE III MODEL - SIZE 10,1,simple,,
default,base,Default,simple,"5,6",sscribagsgb136,0,SG Clubpak Bag With Trolley,,,/acctrvbagadi032.jpg,/acctrvbagadi032.jpg,/acctrvbagadi032.jpg,2,2.html,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,No,1499,1305,501,,,Enabled,No,"Catalog, Search",None,<br><br>Contemporary looking junior trolley bag<br><br> Bigger size<br><br> External trolley puller<br><br> Heavy-duty wheels fitting for easy portability and balance<br><br> Heavy-Duty Nylon tapes with extra reinforcement<br><br>,SG Clubpak Bag With Trolley,,No,2015-09-18 00:00:00,,2015-09-17 00:00:00,2019-09-14 00:00:00,,,10,0,1,1,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,SG Clubpak Bag With Trolley,1,simple,,
default,base,Default,simple,"5,6",sscrihelsgb157,0,SG Aero Player Cricket Helmet,,,/sscribatadi010.jpg,/sscribatadi010.jpg,/sscribatadi010.jpg,26,26.html,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,No,2499,2175,525,,,Enabled,No,"Catalog, Search",None,"<br><br>minutes, and choose One-Day Delivery at checkout. Details<br><br> High Impact resistant polymer outer shell<br><br> High density expandable polystyrene inner shell<br><br> High sweat absorption internal lining with spacer for airflow ventilation<br><br> Adjustable grill<br><br>",SG Aero Player Cricket Helmet,,No,2015-09-18 00:00:00,,2015-09-17 00:00:00,2019-09-14 00:00:00,,,10,0,1,1,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,SG Aero Player Cricket Helmet,1,simple,,
default,base,Default,simple,"5,6",sscribagsgb144,0,"SG Dufflepak Kit Bag, 32X11x11",,,/fsgymothadi027.jpg,/fsgymothadi027.jpg,/fsgymothadi027.jpg,SG_Dufflepak_Kit_Bag,SG_Dufflepak_Kit_Bag.html,,No layout updates,Block after Info Column,,,, ,Use config,Use config,No,No,779,678,509,,,Enabled,No,"Catalog, Search",None,<br><br>Made from heavy duty nylon material<br><br> Foam padded adjustable shoulder straps<br><br> Additional shoe compartment at the base<br><br> One external pocket<br><br>,"SG Dufflepak Kit Bag, 32X11x11",,No,2015-09-18 00:00:00,,2015-09-17 00:00:00,2019-09-14 00:00:00,,,10,0,1,1,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,"SG Dufflepak Kit Bag, 32X11x11",1,simple,,
